start	end	text
1526.130	1528.030	И это будет, типа, стоить вот столько-то.
1528.430	1530.210	Если мы, например, просто тестируем
1530.210	1532.550	месяц или два, там, на отделе,
1532.670	1534.150	на всех форматах, которые есть,
1534.250	1536.270	это там будет, ну, плюс-минус столько.
1536.370	1537.770	Ну, короче, вот такие какие-то варианты
1537.770	1538.550	прикинуть.
1538.850	1541.390	Вы больше всего знаете, для чего вам нужно,
1541.450	1542.870	и что вам нужно автоматизировать,
1542.970	1545.810	что вам нужно изменить, и где вам нужна
1545.810	1547.450	такая помощь.
1547.790	1549.650	Поэтому я предлагаю вам все минуты смотреть
1549.650	1551.630	и просто, как бы, иметь
1551.630	1553.110	и держать в голове, что денег,
1553.110	1555.530	ну, бюджет очень сильно ограничен.
1556.130	1557.570	И закладывать я
1557.570	1559.730	боюсь, что мне сейчас будет
1559.730	1560.850	очень сложно, тем более
1560.850	1564.650	такие суммы, как 250
1564.650	1566.990	в месяц. Я, наоборот, сейчас сокращаю
1566.990	1568.670	все костыли, где только могу, чтобы
1568.670	1569.930	не было никаких проблем.
1570.930	1573.010	Вот, поэтому мне, конечно,
1573.570	1574.730	хочется вас поддержать,
1574.870	1576.890	хочется всю
1576.890	1578.310	текстуру попробовать сделать,
1578.490	1580.770	если ты ей пользовалась, и ты уже,
1580.830	1582.190	как бы, ну, сама довольна
1582.190	1583.810	мне, насколько я слышу.
1583.930	1585.150	Да-да, да, все уже, все,
1585.210	1586.910	мое ментальное состояние держится,
1587.090	1589.250	только на ней. Ну, типа, в общем-то...
1589.250	1590.650	Подожди, а ты, получается, что
1590.650	1592.330	платишь за свой...
1592.330	1594.530	Ну, токены, да-да-да.
1594.990	1596.350	Сейчас за свой счет. Ну,
1596.790	1598.710	мне же подняли зарплату, чтобы я занималась
1598.710	1601.110	оптимизацией. Я такая, пф, токены.
1601.850	1602.850	Вот, но...
1602.850	1604.510	Куда инвестировать деньги?
1604.790	1606.440	А сколько ты
1606.440	1608.920	вылетаешь за пределы лимитов?
1609.180	1611.100	Ну, нет, я все-таки, ну,
1611.460	1612.900	кушаю там, типа,
1612.980	1614.460	плачу за свет.
1615.020	1616.200	На каком тарифе это?
1617.440	1619.600	На каком тарифе? Там нет тарифов, там просто
1619.600	1621.700	ты грузишь, ну, типа, подгружаешь
1621.700	1623.400	количество долларов, ну, типа,
1623.480	1625.620	которые будут тратиться на токены, и все, там нет
1625.620	1627.520	тарифов. То есть, тарифным планом Антропика это
1627.520	1629.500	никак не подключено? Не-не-не, тарифный план
1629.500	1631.720	Антропика это очень
1631.720	1633.660	плохо, потому что там, ну, типа, у меня есть
1633.660	1634.920	Антропик тоже
1634.920	1637.640	про план, но они очень хитро
1637.640	1639.520	делают, у них, типа, Клод
1639.520	1641.440	делает все круто, ты туда
1641.440	1643.400	загружаешь, типа, какой-то бриф, он
1643.400	1645.600	делает по самым высоким вообще возможным
1645.600	1647.200	костам, он тебе приложение сразу
1647.200	1649.540	сверстает, в общем, все будет красиво, но он потратит тебе
1649.540	1651.700	лимиты токенов на день или лимиты токенов
1651.700	1653.760	там на неделю, и тебе приходится их докупать
1653.760	1655.640	постоянно, поэтому там, типа, они вот
1655.640	1656.960	тоже на этом зарабатывают,
1657.420	1659.540	подсаживают нас на вот эту вот
1659.540	1661.840	удочку классного контента, генерируемого,
1661.940	1664.020	но... Там надо стоять с ограничением,
1664.140	1665.320	отключать всякие функции.
1665.320	1667.520	Да-да-да, потому что...
1667.520	1669.460	Потому что там,
1669.600	1671.440	как бы, он делает прям, ну,
1671.440	1673.540	типа, тебе сразу делают статью
1673.540	1674.920	с версткой, но
1674.920	1677.180	у тебя, ну, классно, спасибо, конечно,
1677.200	1678.980	конечно, но...
1678.980	1680.180	Но, как бы, и в пересчете
1680.180	1683.980	человек, представивший, будет это делать
1683.980	1685.760	дешевле, даже используя
1685.760	1687.400	на 30% лимит.
1687.660	1689.060	Да-да, и тут, как бы,
1690.750	1692.670	вот эта оптимизация по токенам,
1692.710	1693.730	она тоже, типа,
1695.500	1697.320	требует, как бы, времени и понимания,
1697.360	1699.260	и вообще понимания, как устроен, ну, типа,
1699.500	1701.360	там же разные модели могут подключаться
1701.360	1703.540	к разным частям
1703.540	1705.160	задачи и там тратить,
1705.220	1707.080	ну, там, какой-нибудь Gemini, он тратит меньше
1707.080	1708.900	токенов, но делает там что-то
1708.900	1710.240	связанное с простыми
1710.240	1712.660	этапами, типа, подсчета символов.
1712.980	1714.760	Он их делает так же хорошо, как и Клод,
1714.800	1716.740	и нам не надо, типа, Клод 4.7
1716.740	1718.560	использовать для того, и Опус 4.7
1718.560	1720.700	для того, чтобы, ну, типа, посчитать символы.
1721.100	1722.760	Тоже, как бы, тут всякие такие...
1722.760	1724.920	А он автоматически рассчитывает, какой модель
1724.920	1726.340	для каких задач брать?
1730.330	1732.210	Я точно не знаю, нет, по-моему...
1732.210	1733.890	Наверное, он автоматически берет,
1733.990	1736.130	как бы, ну, основ... Ну, типа, он берет
1736.130	1737.730	Опус, ну, вот, короче,
1738.070	1739.890	там, как бы, в самой системе, вот,
1740.230	1741.970	типа, в которой ты делаешь, пишешь,
1742.070	1744.110	текст, то есть, уже, как бы, на фронте,
1744.470	1745.990	ты можешь выбрать
1745.990	1748.030	себе, там, что я хочу,
1748.270	1749.810	чтобы вся статья, там, или весь
1749.810	1751.950	баннер, все баннеры генерировались, там, 4.6,
1752.010	1753.650	4.7 и так далее. Но именно
1753.650	1755.690	с, ну, как бы, на бэке,
1755.810	1757.770	как это, это может быть настроено, в общем,
1757.910	1758.930	как-то более тонко.
1759.910	1762.010	Так вот, блин, а в том-то и дело,
1762.130	1763.710	что я, например, пользуюсь... Ну, ладно,
1763.770	1766.130	я не пользуюсь для такой масштабной прям работы,
1766.350	1767.950	но я пользовалась
1767.950	1769.410	AI
1769.410	1772.030	средними, короче,
1772.070	1772.910	тоже каким-то,
1773.130	1775.950	какой-то мультиагентной системой,
1775.990	1778.130	да, ты заходишь, сейчас их много,
1778.130	1779.930	мне кажется. Ну, сейчас, да, сейчас каждый
1779.930	1780.930	днем уже будет больше.
1782.290	1784.310	Вот, ты заходишь и можешь
1784.310	1785.830	выбрать
1785.830	1787.770	любой,
1787.950	1789.990	любого, любую
1789.990	1792.030	ишку, которая тебе нужна в зависимости от твоих
1792.030	1794.370	задач, будь то, я не знаю,
1794.510	1796.090	чат-джи-пити всех
1796.090	1797.270	версий, которые там,
1797.530	1800.420	самый последний, безусловно, с ограниченными
1800.420	1803.760	запросами, вот, до,
1803.860	1804.820	я не знаю, там,
1807.330	1808.750	ну, наверное, бананов тогда не было,
1808.830	1810.890	ну, в общем... Ну, китайские какие-нибудь, наверное, там,
1810.990	1812.030	всякие. Борни, да,
1812.690	1814.490	все, что связано с ухажением.
1815.690	1816.090	Соответственно,
1816.850	1818.570	я платила за это 2 тысячи
1818.570	1821.090	рублей в месяц, вот.
1821.470	1823.210	Понятно, что я не делала,
1823.310	1825.130	не генерировала 200 тысяч
1825.130	1826.970	статей, вот, поэтому
1826.970	1829.110	как бы, ну, понятно, что у меня там были
1829.110	1831.070	лимиты, но лимиты были в день,
1831.150	1832.870	она тут стоит по количеству знаков.
1832.870	1834.950	Вот, короче, надо как-то перевести в то, чтобы,
1835.170	1837.140	так сказать, что, ну,
1837.240	1838.960	вот это вот, на это,
1839.040	1841.060	вот это, на это, поддержку
1841.060	1843.220	этого агента, который
1843.220	1845.080	уже постемизирован на 20, который
1845.080	1846.700	уже, как бы, делал, да, как надо,
1847.540	1849.220	потому что у нас же, у Санитки
1849.220	1851.140	есть, да, сайентисты, и
1851.140	1852.300	по сути, как бы,
1853.120	1853.640	парировать
1853.640	1856.440	можно тем, что,
1857.140	1858.940	ну, как мы сами напишем.
1859.600	1861.120	Ну, классно, если вы мне
1861.120	1863.180	выделите, типа, спеца, с которым я буду
1863.180	1864.820	вот вместе работать,
1865.360	1867.140	параллельно основной работе, тут же еще, как бы,
1867.180	1869.140	понятно, что у дата-сайентистов есть свой загруз,
1869.240	1871.220	вряд ли они придут, типа, к контенту,
1871.220	1872.940	и такие, давайте мы вам поможем, ребята,
1873.440	1874.900	кажется, у вас тут...
1874.900	1876.960	Нет, мы так делаем, мы, как бы, при всей душе
1876.960	1878.560	решили вам помочь. Ну, да.
1879.480	1880.260	Что вам сделать?
1882.100	1884.180	Ну, собственно говоря, я все услышала,
1884.260	1886.300	все поняла, давай доработаем
1886.300	1887.460	чуть-чуть презентацию,
1887.720	1890.830	поймем, и тоже с точки зрения
1890.830	1893.100	других моментов, у вас
1893.100	1895.120	ИП или, там, что?
1895.400	1896.320	ИП, ИП.
1897.280	1897.580	У вас?
1897.600	1901.170	Просто с такими бюджетами
1901.170	1904.690	ИП просто, ну, это надо будет...
1904.690	1910.710	Я не знаю, что сделать, чтобы...
1910.710	1912.790	Ну, давай, как бы, подвесим
1912.790	1913.490	этот вопрос.
1915.630	1917.010	И мы по бюджету
1917.010	1919.150	я тебе, как бы, пришлю, там, разбивку,
1919.230	1921.050	подумаем, как оптимизироваться, потому что
1921.050	1922.810	все равно, ну, хочется потестить,
1922.910	1924.990	хотя бы, вот, в каком-то формате, кажется,
1925.110	1925.590	что это будет...
1925.590	1928.890	А после теста уже, может быть, будет
1928.890	1930.590	как-то больше понимания вообще
1930.590	1932.190	надо, нам это не надо, и
1932.190	1933.310	как, куда дальше.
1934.410	1935.370	В общем, так.
1937.320	1938.560	Еще, знаешь, Арина,
1939.720	1941.140	будет здорово, если добавите
1941.140	1944.430	возможность
1944.430	1947.720	модерации
1947.720	1948.240	отзывов.
1948.240	1950.060	У нас есть председательная политика,
1950.260	1952.830	мы отклоняем
1952.830	1958.020	и откроем все это вручную,
1958.180	1959.640	и есть ли техническая возможность
1959.640	1962.220	делать это не руками?
1962.380	1964.040	Ну, техническая-то возможность есть,
1964.260	1965.240	но при этом...
1965.240	1966.960	Быть уверенным, что действительно,
1967.120	1970.440	с учетом, как бы, семантической сложности
1970.440	1972.040	самих отзывов, то, что там пишут
1972.040	1974.180	с ошибками, странные
1974.180	1976.140	несловарные слова какие-то,
1976.200	1977.640	что он будет корректно их
1977.640	1979.440	принимать или отклонить.
1979.680	1981.760	Это, ну, это, да,
1982.040	1984.460	мы уже, ну, мы, типа,
1984.600	1986.280	тестировали, делали, но тут вопрос,
1986.380	1989.000	опять же, про безопасность
1989.000	1990.340	данных, про их хранение, ну, вот,
1990.380	1992.380	типа, отзывы, как мы будем,
1993.620	1994.800	куда будет обращаться
1994.800	1996.920	нейронка, ну, вот, короче,
1996.920	1997.580	вот, у меня больше,
1997.660	1998.900	вот, этот вопрос, мне кажется,
1998.900	2000.460	надо поисследовать, потому что, в целом, да,
2001.080	2003.380	поскольку, ну, вот,
2003.440	2005.680	я делала аналитику отзывов,
2005.800	2007.080	вот, пока ты был в отпуске,
2007.580	2010.000	в том числе и по семантике их,
2010.480	2011.660	я там добавляла, типа,
2012.280	2014.320	поля, типа, что людям важно,
2014.500	2015.240	что не важно
2015.240	2017.660	при покупке, вот,
2017.700	2020.260	он достаточно, ну, я перепросматривала,
2020.360	2021.840	понятно, все, и
2021.840	2023.520	достаточно все было, как бы,
2023.920	2026.720	мне кажется, good, вот.
2026.720	2028.520	Ну, это я делаю через Вайскод.
2031.630	2033.290	В общем, нужно понять,
2033.470	2035.450	где мы можем использовать это
2035.450	2037.950	с точки зрения, вообще, всех аспектов,
2038.070	2039.590	особенно юридических, потому что
2039.590	2041.670	мы, ну, мы не можем передавать,
2041.810	2044.030	то есть, мы с определенными политиками
2044.030	2045.410	защищены,
2045.900	2047.300	должны защищать, как бы,
2047.400	2049.720	официальные данные своим клиентам,
2050.060	2052.220	понять, относятся ли отзывы к этим данным,
2052.280	2053.980	ну, и тут много таких моментов,
2054.020	2056.040	которые нужно, как бы,
2057.400	2057.840	решить.
2057.840	2062.470	Ну, юридическими зазубринами.
2062.650	2063.840	Да, верно.
2063.840	2065.560	То есть, использование VPN, например.
2070.170	2070.650	А напрямую?
2071.070	2080.770	Ну, начиная с малого,
2081.550	2083.810	возможно, там,
2084.350	2086.300	минимум, средний, как бы,
2089.410	2091.610	функционал для использования,
2091.730	2092.970	да, и, как бы,
2093.310	2096.060	максимум, да, у вас там и отзывы,
2096.280	2098.100	и SEO-статьи,
2098.340	2100.660	и акционные штуки,
2100.740	2107.290	да, вступилы.
2107.510	2111.890	Тут, опять же, еще зависит, как бы, от фокусов,
2112.010	2113.550	что нам...
2113.550	2115.190	Фокус трафика, трафик
2115.190	2117.190	в SEO, SEO падает,
2117.930	2119.410	SEO надо принимать,
2119.710	2121.330	вот, и, безусловно, как бы,
2121.390	2123.390	еще нужны, там, всякие
2123.390	2125.330	тесты, еще нужно
2125.330	2127.350	добавлять коммерческий составляющий.
2128.030	2129.650	Нам нужно хакнуть, вообще,
2129.830	2131.730	падающий рынок.
2132.370	2135.860	Падает во всем алкоголе,
2136.580	2137.820	но, все-таки, в премиальном
2137.820	2139.260	вине он падает чуть меньше.
2140.030	2141.830	Мы падаем очень сильно, и вот это,
2141.910	2143.230	вот, как бы, ну, такое себе.
2146.390	2149.510	Сейчас нужно взять возможность для роста
2149.510	2151.130	и использовать, вообще,
2151.210	2155.190	все, что только можно.
2155.330	2157.550	Окей, я тогда вернусь
2157.550	2159.450	с доработками,
2160.030	2160.250	вот,
2160.510	2163.450	закину тебе и Диме,
2163.510	2164.530	тебе, наверное, тоже закину,
2164.850	2166.890	чтобы тоже все были
2166.890	2169.010	в контексте, вот.
2169.310	2171.390	И тогда дальше уже посмотрим.
2173.110	2174.310	Договорились. Давайте только
2174.310	2176.690	постараемся в ближайшее время
2176.690	2178.490	все это посмотреть, потому что
2178.490	2181.990	если только делать бы, быстрее попробуем.
2182.940	2184.640	Ну, да, ну, единственное, что я
2184.640	2187.260	до седьмого работаю, потом я в отпуске
2187.260	2188.560	до семнадцатого, вот.
2188.620	2191.140	Но я, как бы, точно успею до своего отпуска,
2191.580	2193.000	ну, даже быстрее,
2193.120	2194.380	короче, все, по презе доделаю.
2194.540	2196.640	Хорошо, хорошо.
2197.420	2198.520	Супер, спасибо вам.
2199.460	2200.920	Угу, спасибо тебе.
2201.080	2201.720	Спасибо, Алина.
2202.040	2204.380	Все, хорошего дня всем. Пока-пока.
